Optimal path [nodeId(time to the node):
36(0) -> 32(121) -> 23(140) -> 2(136) -> 40(141) -> 9(119) -> 44(133) -> 8(131) -> 7(128) -> 10(124) -> 13(144) -> 46(139) -> 42(135) -> 26(111) -> 38(124) -> 39(135) -> 3(145) -> 5(131) -> 29(141) -> 24(128) -> 18(156) -> 25(118) -> 48(133) -> 12(124) -> 11(125) -> 47(141) -> 43(140) -> 22(140) -> 33(126) -> 14(130) -> 1(129) -> 21(137) -> 0(126) -> 20(128) -> 45(121) -> 19(113) -> 30(142) -> 35(135) -> 49(128) -> 34(132) -> 4(126) -> 16(126) -> 15(130) -> 6(134) -> 17(122) -> 41(125) -> 27(118) -> 31(110) -> 28(130) -> 37(146)
Total time of delivery: 6397
The cost function value: 6397

Statistics at the end of simulation: 
Residents: 2653253
Illness cases: 2338495 --> [88.13690213485107%]
Healthy residents: 314758 --> [11.863097865148932%]
Vaccinated residents314758 --> [11.863097865148932%]

Statistics of each node: 
id residentsNumber illnessCases healthyResidents vaccinated
4600 2653253 2338495 314758 314758
4610 2653253 2338495 314758 314758
4620 2653253 2338495 314758 314758
4630 2653253 2338495 314758 314758
4640 2653253 2338495 314758 314758
4650 2653253 2338495 314758 314758
4660 2653253 2338495 314758 314758
4670 2653253 2338495 314758 314758
4680 2653253 2338495 314758 314758
4690 2653253 2338495 314758 314758
4700 2653253 2338495 314758 314758
4710 2653253 2338495 314758 314758
4720 2653253 2338495 314758 314758
4730 2653253 2338495 314758 314758
4740 2653253 2338495 314758 314758
4750 2653253 2338495 314758 314758
4760 2653253 2338495 314758 314758
4770 2653253 2338495 314758 314758
4780 2653253 2338495 314758 314758
4790 2653253 2338495 314758 314758
4800 2653253 2338495 314758 314758
4810 2653253 2338495 314758 314758
4820 2653253 2338495 314758 314758
4830 2653253 2338495 314758 314758
4840 2653253 2338495 314758 314758
4850 2653253 2338495 314758 314758
4860 2653253 2338495 314758 314758
4870 2653253 2338495 314758 314758
4880 2653253 2338495 314758 314758
4890 2653253 2338495 314758 314758
4900 2653253 2338495 314758 314758
4910 2653253 2338495 314758 314758
4920 2653253 2338495 314758 314758
4930 2653253 2338495 314758 314758
4940 2653253 2338495 314758 314758
4950 2653253 2338495 314758 314758
4960 2653253 2338495 314758 314758
4970 2653253 2338495 314758 314758
4980 2653253 2338495 314758 314758
4990 2653253 2338495 314758 314758
5000 2653253 2338495 314758 314758
5010 2653253 2338495 314758 314758
5020 2653253 2338495 314758 314758
5030 2653253 2338495 314758 314758
5040 2653253 2338495 314758 314758
5050 2653253 2338495 314758 314758
5060 2653253 2338495 314758 314758
5070 2653253 2338495 314758 314758
5080 2653253 2338495 314758 314758
5090 2653253 2338495 314758 314758
5100 2653253 2338495 314758 314758
5110 2653253 2338495 314758 314758
5120 2653253 2338495 314758 314758
5130 2653253 2338495 314758 314758
5140 2653253 2338495 314758 314758
5150 2653253 2338495 314758 314758
5160 2653253 2338495 314758 314758
5170 2653253 2338495 314758 314758
5180 2653253 2338495 314758 314758
5190 2653253 2338495 314758 314758
5200 2653253 2338495 314758 314758
5210 2653253 2338495 314758 314758
5220 2653253 2338495 314758 314758
5230 2653253 2338495 314758 314758
5240 2653253 2338495 314758 314758
5250 2653253 2338495 314758 314758
